Comment,Designator,Footprint,LCSC
"0.1uF","C2,C4","Capacitor_SMD:C_0402_1005Metric","C178771"
"22uF","C3","Capacitor_SMD:C_0402_1005Metric","C2836678"
"MH","H1,H2,H3,H4","MountingHole:MountingHole_2.2mm_M2_Pad",""
"L9110S","IC1,IC2,IC3","footprint:SOIC127P600X150-8","C2984833"
"Conn_01x10_Female","J1","Connector_Hirose:Hirose_DF13-10P-1.25DSA_1x10_P1.25mm_Vertical",""
"I2C_STANDARDQWIIC","J2","Connectors:1X04_1MM_RA",""
"Conn_01x02_Female","J3,J8","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"Conn_01x05_Female","J4,J5,J6","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"Conn_01x12_Female","J7","Connector_Hirose:Hirose_DF13-12P-1.25DSA_1x12_P1.25mm_Vertical",""
"10K","R1,R2,R3,R4,R5,R6,R7,R8,R9","Resistor_SMD:R_0402_1005Metric","C325396"
"TestPoint","TP1,TP2,TP3,TP4,TP5,TP6","TestPoint:TestPoint_Pad_1.5x1.5mm",""
"ESP32-WROOM-32D","U1","RF_Module:ESP32-WROOM-32","C473012"